IssueKey,Summary
OP-6609,"The fields in the "Custom Connector Header" in the Approval gate does not support spaces"
OP-6623,"clean up ds code"
OP-6624,"Deployment Time with z format in App and service view"
OP-6625,"OES should push the encrypted credentials to DB in a non Vault config"
OP-6626,"OES should push the encrypted credentials to S3 in a non Vault config"
OP-6637,"OES Release 3.9"
OP-6642,"Java-Contextual Cluster irrespective of autobasline(by default) in loganalysis flow"
OP-6656,"Java-Greylog  data source log analysis implementation"
OP-6657,"Test verification - Default time period  should be "7 days""
OP-6669,"Java-cloud provider for amazonS3"
OP-6679,"Java/AonA--nested exception is java.lang.NumberFormatException: For input string: "null"] with root cause java.lang.NumberFormatException: For input string: "null"at java.lang.NumberFormatException.forInputString(NumberFormatException.java:65) "
OP-6681,"Setup - Integrations -  Image icon is missing in Microsoft Teams"
OP-6686,"Spinnaker setup - Update spinnaker changes are not effecting, until user restarts the sapor pods manually "
OP-6687,"Java - Cloud providers accounts are not updating in spinnaker deployment stage"
OP-6689,"Java - App dashboard - If Verification/test verification gate is  in running status don't show the score"
OP-6691,"Move all OES instance to point to  LDAP Non-Prod Env created by Sagayraj"
OP-6696,""Sync Spinnaker Applications" button is continuously swirling"
OP-6698,"update AonA baseline with v3.7 "
OP-6699,"schedule scale down / scale up the baseline & canary namespaces from aona cluster"
OP-6702,"Java - Non admin group issues "
OP-6703,"Java - spiinaker allows to create more then one spinnaker using create url - User directly enter to spinnaker through <namespace>setup/spinnaker/new"
OP-6704,"Visibility page is not loading for non admin users"
OP-6706,"Java -setup -  Agent - agent name should be editable"
OP-6707,"Java - AppDashboard - In services api - For OES only applications AnalysisServiceId is shown as zero"
OP-6708,"Java - Cloud providers - Special characters are replaced with a space in the secrets"
OP-6710,"Java - Platform Service - Added Host Url for Bitbucket Integrator"
OP-6714,"Java/AonA-- ERROR Unable to start canary, applicationName: sdsd does not exist"
OP-6719,"UI - Bit bucket get input as endpoint under spinnaker set up page"
OP-6720,"Java - cloud providers - Edit AWS account  - Don't allow user to edit the Account Id "
OP-6726,"oes-ui loads JS files from internet"
OP-6727,"Change metric analysis file read logic based on metric id"
OP-6728,"UI - Setup - cloud providers edit & delete options are missing"
OP-6729,"Verification Summary Page api request"
OP-6730,"Java/Bitbucket--Integrator..Token is  saving as null for github integrator in Bitbucket"
OP-6731,"Integrations - In get api  SpinEnabled parameter is shown in 2 different ways "
OP-6732,"Java/Bitbucket--S3and Bitbucket integrators, spinnaker instance is displaying null in Integrators page."
OP-6735,"Issue in 3.8.0-rc2 instance, App sync is not working"
OP-6736,"Integrator -  Jira details are not updating in github, s3 & bit-bucket configs"
OP-6738,"Integrators -  UI should not allow special characters while creating data-source account name  "
OP-6739,"While creating s3, bit bucket, Artifact  & Azure  accounts halyard pods are restarting"
OP-6740,"Data science - baseline clusters are shown as empty "
OP-6741,"When there is only one option in the dropdown, auto select it."
OP-6750,"UI - Resolution issue  - After login to the oes-agent - UI is not using total space empty space in right corner"
OP-6752,"Contextual CLuster - UI - Log Template creation"
OP-6753,"Contextual Cluster - UI - Log Analysis"
OP-6754,"fix for contextual results not coming in resultJson due to flag not b…"
OP-6756,"Flag based build with new Autopilot changes"
OP-6771,"Metrics weight modelling analysis"
OP-6774,"Java-Graylog datasource creation"
OP-6776,"UI - Sync with spinnaker restart Warning alert"
OP-6783,"Java - App dashboard - Deployment counts are not shown in application dashboard"
OP-6784,"Java - If the verification pipeline is running - Verification status is shown as fail,instead running"
OP-6787,""timeBuckets" field removal from autobaseline"
OP-6790,"Not able to see the edit/ delete button in cloud provider account in OES 3.8v"
OP-6791,"DS: error message change for metric analysis "
OP-6792,"Delete cloud provider is throwing error, not able to delete existing account"
OP-6793,"ds clean up - change print statements to logs"
OP-6801,"formatting error in logging"
OP-6803,"UI - Co relation - Click on add metrics displays empty window  "
OP-6804,"Java - If the Prometheus is password protected - failed to generate template for Infra type"
OP-6806,"UI - Setup - templates - while adding or editing the existing templates unable to see save and cancel options "
OP-6807,"UI - Policy management - After deleting the existing policy refresh/reload page is missing "
OP-6808,"UI -  Click on policy gate - Redirection to the policy, but the filtering  is not working correctly"
OP-6809,"UI - App&Service view - Click on test verification gate is redirecting to the deployment verification instead test-verification "
OP-6811,"Add Service, Pipeline, Gate columns in Test Verification Summary grid."
OP-6814,"Java - Service(Deployment) view - change in time period is not changing Verification Failures count "
OP-6817,"fix bug in contextual main flow is_new attribute"
OP-6819,"configuring AonA services to emit Newrelic APM metrics along with prometheus infra"
OP-6820,"Data source - Unable to get logs from splunk - Splunk license expired"
OP-6829,"UI Datasource Integration"
OP-6824,"implement cluster state persistence with entropy based reclassification"
OP-6825,"DS - Metric analysis - Load metric is throwing N/A score"
OP-6828,"Java - Unable to sync application - sync spinnaker is throwing aborted status "
OP-6831,"Verification -  metrics(Infra) analysis - Change the verification run is not effecting the results"
OP-6832,"Java- Metric flow refactor"
OP-7019,"Implement MetricDownloader Based on DS Type And MetricAnalysisType"
OP-7088,"Add Dynatrace as a Advanced Metric Analysis Data Provider"
OP-6833,"We are unable to edit the API Selection under: APM & INFRA tab"
OP-6838,"Create new observer instance for logAnalysisManual pipeline "
OP-6840,"JAVA/RBAC - Application get permission API"
OP-6842,"Encrypted Integrators and Cloud Providers are not getting reflected in Spinnaker  after removing encryption key"
OP-6844,"tag not working correctly"
OP-6848,"UI - Verification -Collapse/ Expand is not working  In Contextual tab"
OP-6851,"Java/AonA-- Data science api is calling with requested json:{"contextualWindowSize":null,"scoringAlgorithm":"Canary","autoBaseline":false,"infoScoring":false,"contextualCluster":fals"
OP-6852,"Java/AonA--java.lang.NullPointerException:getErrorResponse(FeignExceptionHandler.java:59) com.opsmx.dashboardservice.v2.service.DashboardApplicationServiceImpl.updateApplicationUserGroupPermission(DashboardApplicationServiceImpl.java:471) "
OP-6858,"Finding out comparison method in metric analysis for metric fetched with "Rate" query"
OP-6859,"Error while running autopilot v9 to 3.7 Db migration script "
OP-6860,"JAVA - Datasource permissions "
OP-6861,"Java - While fetching the Cloud watch logs - Issue with time attribute "
OP-6862,"Let's update all the pipeline and NS to use common gate code"
OP-6864,"Java/AonA-- No metrics for Platform and Visibility"
OP-6867,"After 3.8 upgrade, issue in Audit trail- Pipeline"
OP-6868,"Java/Visibility and Approval page--Jenkins Integrator is restricted for Token  while adding Approval gate."
OP-6870,"Java/AonA--ERROR Unable to do reclassification for the selected cluster, canaryId:5231 java.lang. NullPointerException at com.opsmx.analytics.logservices.UserLogTemplateServices.writeCsv"
OP-6876,"Push different sizes of logs to required monitoring providers"
OP-6878,"Creating a new project for plugin framework"
OP-6884,"UI - Integrators - While creating the data sources Validations are missing "
OP-6886,"UI - Splunk should save with out user name and password"
OP-6891,"JAVA - RBAC Agent permission"
OP-6894,"Java - Test verification - If the application is in progress status will be N/A instead show running or in-progress  "
OP-6895,"Java - Verification summary - Search is not giving accurate results"
OP-6903,"Enable Contextual in aonamanual pipeline"
OP-6905,"Java - Test verification summary - Run, Duration & Triggered By fields are missing "
OP-6910,"UI - Integrators - Edit any data source Connect to spinnaker is disabled"
OP-6912,"Java/AonA--ERROR Stopping the canary:5331 with error message:Analysis failed after 29 attempts"
OP-6915,"Java - Spinnaker setup - Unable to add/update the  External Accounts "
OP-6916,"Data science - Test verification - Trigger a canary with contextual log analysis is not happening"
OP-6917,"Fix to handle no data in log file scenario for auto-baseline flow"
OP-6918,"Java - App Sync - For the imported applications - Pipeline view is missing  "
OP-6921,"Java - Cloud provider - Create/Edit cloud providers - Required fields are shown as empty"
OP-6922,"Jenkins Integrator host URL to accept 'https://jenkins.opsmx.net:8181/anyname' & URL without /jenkins"
OP-6923,"Java/AonA--ava.lang.NullPointerException: null 	at com.opsmx.analytics.services.DeploymentVerificationService.saveUserLogServiceTemplate(DeploymentVerificationService.java:239) .createLogTemplate(DeploymentVerificationRestService.java:51)"
OP-6930,"correlation tab is getting "info" clusters "
OP-6931,"JAVA - RBAC - Deployment view RBAC for gates"
OP-6934,"JAVA - RBAC - Audit page"
OP-6937,"Test verification - Pagination is missing in both summary and test verification analysis"
OP-6939,"Verification - Triggered by is shown as empty"
OP-6943,"implement duplicate removal before clustering in cluster state persistence"
OP-6944,"Application sync is not working for OES 3.8.2v with Spinnaker 1.26.4v"
OP-6948,"spell duplicate clusters solution unit tests"
OP-6951,"move old unused tests to ds_experiments repo"
OP-6968,"fix assertionerror during test verification"
OP-6969,"Policy - Admin user can able to edit the policy which don't have at least R/W permissions  "
OP-6971,"Visibility - Unable to activate the visibility gate using trigger url - Throwing internal server error "
OP-6972,"Providers - Non admin user can able to select provider which din't have write permissions as well"
OP-6973,"Admin should save integrator and agent  etc... resources- without selecting the permissions as well"
OP-6976,"Agent - Admin user can able to edit the Agent which don't have at least R/W permissions  "
OP-6982,"Java - Integrators - Unable to save Prometheus credentials "
OP-6983,"Java/AonA-- ERROR CanaryId=143, requestUrl= https://newoeselastic.opsmx.com/.kibana/_search?pretty : Unexpected exception. java.io.IOException: Server returned HTTP response code: 403 for"
OP-6984,"Admin groups doesn't have to be displayed under group permissions drop down for data source & agent creation"
OP-6987,"UI - Verification -  Application details are missing, in verification summary page "
OP-6990,"UI - Test verification/Verification - user can able edit the log template which don't have write permissions"
OP-6991,"Trigger Endpoint should have x-spinnaker-user header"
OP-6996,"duplicate lines in resultJson"
OP-6997,"Java - New relic APM  - unable to do analysis - identifiers are hard coded "
OP-7003,"Java/AonA--ERROR error found Empty Series found. java.lang. IllegalArgumentException: Empty Series found. at com.google.common.base.Preconditions.checkArgument(Preconditions.java:142) ~"
OP-7004,"Visibility dash board - Show/hide column - User can see duplicate column names "
OP-7006,"Integrators -  Edit existing Jenkins account - Password field is shown as empty "
OP-7007,"Customer running into Issues while adding AWS Cloudprovider Accounts"
OP-7008,"Keyword 'clusterStatePersistence' is expected when contextual clustering is enabled"
OP-7010,"Test Verification Summary Page - Summary boxes count is not updating when timeframe dropdown is changed."
OP-7011,"Verification Summary/Test Verification Summary api - date filter"
OP-7014,"Java-Source control for accounts--Unable to save kubernetes & GCP in Bitbucket  without relative path"
OP-7025,"Link to view logs in Kibana from summary section of results page is not available"
OP-7027,"Token field is missing in SonarQube integrator"
OP-7029,"Java -  Unable to create policy due to permissions issue"
OP-7035,"Java - unable to trigger the verification gate due to user issue"
OP-7040,"fix v1v2 clusters coming in v1 clusters in autobaseline flow"
OP-7045,"Java--New installation with master images-- getting issue with Sapor in gitops-test-spin namespace."
OP-7047,"Platform-Need to add two  fields  for newrelic Datasource"
OP-7048,"UI - Edit Approval application - Edit existing approval application template & permissions are shown as empty"
OP-7049,"Enable authentication for Bamboo CI tool installation & Add authentication field in UI for Bamboo CI tool integrator"
OP-7052,"Java - Edit data source - User should able to save the sonarQube account with or without slash(/)"
OP-7053,"autobaseline refactor get topic regex"
OP-7054,"JAVA - Config-map changes to platform-service"
OP-7055,"UI - Summary pages - Alignment issue -  Empty space in table  "
OP-7057,"Java - Unable to Edit existing Approval gate permissions "
OP-7060,"AonA/Java--Duplicate metrics in sapor service"
OP-7061,"JAVA - serviceGateId as part of approvalGateInstance/latest API"
OP-7063,"Java - Integrators -  sonarQube connector does not work with authentication"
OP-7064," visibility summary displaying application based on approve permission instead of application permission"
OP-7065,"Java - Unable to do the log analysis using splunk provider"
OP-7067,"Endpoint to fetch the configured connectors for a Gate and it should return the supported parameters"
OP-7070,"UI - Verification page - Analysis page is flickering continuously"
OP-7071,"UI - Elastic search create data source -  Seeing query filter key & response keyword "
OP-7074,"Java - Deployment view - Test verification gate details are missing when two pipelines(gates) using same template"
OP-7075,"autobaseline refactor clustering and topic assignment"
OP-7076,"UI : Compulasary selection of  global 'Load' metric when Load normalization is "No" in template creation"
OP-7078,"JAVA - User Group issue for sync "
OP-7079,"Java - Load metric is displaying as metricType = 'APM' from api response"
OP-7085,"Audit - Deployment details missing in Audit page - "
OP-7086,"Get pattern log data is showing 500 error"
OP-7087,"UI - Application permissions should not be editable which is imported from spinnaker"
OP-7089,"Java - Integrators - Edit gralog datasource - throwing internal server error"
OP-7091,"Java - Autopilot - Issue with edit graylog  data source "
OP-7093,"Java - Replace Nexus URL *.com with *.net"
OP-7097,"UI> setup > click integrations > select aws cloudwatch"
OP-7099,"Grid api response change - Verification and Test Verification"
OP-7100,"refactor duplicate removal, add basic clustering logic with feature flag in autobaseline"
OP-7103,"Cancel button should show list page - Integrators"
OP-7105,"Dynatrace is missing in Monitoring tools. "
OP-7111,"Add score column in Verification Summary"
OP-7112,"UI - Approval summary grid changes"
OP-7116,"CIPHER code translation is not happening properly - AWS Cloud provider"
OP-7117,"Java - Visibility - Click on SonarQube - navigation to SonarQube from Visibility screen is not working"
OP-7122,"Autopilot-Java null pointer exception while saving metrics"
OP-7123,"Autopilo-Java  Explore Minio as storage while doing analysis"
OP-7124,"Java - SonarQube - approvalGateInstances/47/toolConnectors/SONARQUBE/visibilityData - not seeing data in sonarqube"
OP-7127,"UI- Integrators are being visible multiple times on search in Integrations page"
OP-7130,"new clustering in autobaseline first run implementation"
OP-7132,"refactor topic assignment dependencies"
OP-7134,"Java - Visibility - Unable to activate the approval gate with out imageId"
OP-7136,"UI - Edit existing approval gate - permissions are shown as empty"
OP-7138,"UI - Edit application - permissions are shown as empty"
OP-7140,"Java - In canaries api  report should send the canaries url based on verification type"
OP-7143,"Java - verificaton/testverification summary - search api is not working as expected"
OP-7145,"Appdashboard - for pending approvals status is not getting updated in application dashboard"
OP-7147,"integrate new clustering into autobaseline second run flow"
OP-7148,"SQL commands being shown in the newrelic customs"
OP-7151,"Bamboo and Jfrog Integrators duplicated in integrations"
OP-7159,"Visibility - Add only Sonar connector details for the spinnaker imported application - data is missing"
OP-7160,"Spinnaker UI - Dynamic approval connectors are failing when Bamboo & JFrog are added as connectors as part of approval gate"
OP-7161,"UI - Spinnaker UI - Change project key and     canary id to SonarQube Project Key and Autopilot Canary Id"
OP-7162,"Insights - Last 6 months deployments graph is not displayed properly"
OP-7168,"Edit approval application -  Edit approval connectors throwing internal server error"
OP-7169,"OES rc4- Spinnaker UI- Pipeline status is not showing (Success/ Terminal)"
OP-7170,"Visibility Summary - Summary - Last 6 months & All Time summary is shown incorrectly"
OP-7173,"Effect size estimation"
OP-7174,"Uniform usergroup name cases in Spinnaker, LDAP, OES"
OP-7177,"Java - New Deployment count is not getting updated "
OP-7178,"SonarQube is unable to fetch the public project data without authentication"
OP-7179,"OES 3.8 - SonarQube is unable to fetch the data with authentication and Navigation URL is incorrect (extra \)"
OP-7180,"Move the Grid menu loading from Columns to Grid settings"
OP-7184,"Java - App dashboard  - if any verification/test verification application is in running/complete - status is not getting updated in dashboard"
OP-7186,"UI - Deployment view - For connectors show hide column is missing "
OP-7193,"Verification - Pagination is not working properly with non admin user "
OP-7197,"Not able to pull git connector information in visibility and approval dashboard"
OP-7200,"Twist lock (Prisma Cloud) - R & D - Implement as a OES connector"
OP-7207,"Java - Visibility Summary page -  implement search for status column also"
OP-7211,"Java - visibility -  In multiple commits  any commit is having dummy data -show proper error message "
OP-7214,"Java - Graylog data source - endpoint is shown as null"
OP-7215,"JFrog - If we have multiple Repositories , Builds and Bundles then it should be display with some space between the list of values."
OP-7217,"Java - Unable to save the gates for spinnaker imported applications "
OP-7219,"Deployment Page - No data for JFrog and Bambooo Plugins"
OP-7222,"Adding the  plugin jars as part of the platform service"
OP-7225,"OES-ui Spinnaker setup delete functionality of accountId parameter issue"
OP-7226,"new clustering in autobaseline reclassification"
OP-7227,"Java - Deleted connectors are still visible in spinnaker UI"
OP-7229,"clean drop duplicate flag"
OP-7230,"UI - Template creation -  If the contextual is off cluster tags also in off  by default"
OP-7231,"Audit - New deployments details are not updating in audit page"
OP-7232,"Audit - End time is shown as wrong in audit page for a pipeline in a running status"
OP-7233,"Java/AonA-java.lang.NullPointerException: null 	at com.opsmx.analytics.repository.specification.ServiceRiskAnalysisSpecification.toPredicate(ServiceRiskAnalysisSpecification.java:35) ~[classes!/:0.0.1-SNAPSHOT"
OP-7234,"UI - Test verification - Rerun and Reset is not working as expected"
OP-7244,"UI - Verification - User can able to cancel the analysis even though he don't have write or execute permissions"
OP-7247,"UI - Tags -  User should not allow to enable or disable the tags in edit mode"
OP-7249,"Bamboo--While creating new Bamboo Integrator,token should be optional"
OP-7250,"Bamboo--Duplicate projects are seen in Visibility and ApprovalPage with and without token."
OP-7253,"UI - Cloud providers - Remove permissions section from cloud providers page"
OP-7254,"UI - App&Service view/Audit View - Click on BAMBOO&JFROG XRAY - Redirection is not working"
OP-7257,"Java- Null pinter exception in autopilot  logs"
OP-7258,"Java - Verification/ testverification - getVerificationHistory?pageNo=0&pageLimit=10&noOfDays   api is throwing 500 error"
OP-7261,"Visibility and Approval comment is not displaying in Spinnaker UI"
OP-7262,"Verification page is not loading in OES 3.9"
OP-7263,"Addition of dockstrings for the metrics codebase"
OP-7264,"Bitbucket plugin load"
OP-7268,"clean up spell interface"
OP-7272,"Python AWS SDK boto3 s3 minio PoC "
OP-7273,"AonA > LogsPlusMetrics > Canary analysis is failing with error message "No valid servies for doing analysis""
OP-7275,"Rbac- triggering  a risk analysis by a non-admin user who got all read,write,execute permissions from a admin giving 404 error"
OP-7277,"clean up spell contextual"
OP-7279,"Java- heap space Issue "
OP-7280,"Remove hardcoded datasource names from add/update/delete datasource flows"
OP-7283,"Java-Without Bamboo Authentication public projects should display in the visibility page"
OP-7285,"UI - After successful deletion of template user can able to click on edit template   "
OP-7286,"The error thrown when we fail to download logs and error when dont use the service is the same"
OP-7288,"Visibility - Connectors data is missing- After approval until the approval stage is not completed api's are throwing empty response"
OP-7292,"End point field is missing in Bitbucket integrator account"
OP-7295,"Spinnaker X509 connection Issues----Editing of password is not working"
OP-7296,"Spinnaker X509 connection Issues----Spinnaker is in "Not Connected" state after pod restarts."
OP-7297,"Spinnaker X509 connection Issues----Authentication is failing when creating with wrong password and p12 file"
OP-7298,"object storage basic implementation"
OP-7301,"Application setup - Enhancaments"
OP-7303,"Audit - Implement  case sensitivity search in Audit trial"
OP-7310,"Visibility - Click on Service now - Navigation URL is incorrect"
OP-7311,"Metric Data Download Failing due to multiservice"
OP-7315,"add logging to object storage"
OP-7320,"Production OES CD dashboard is not loading the pipelines data "
OP-7324,"Java - While running the analysis getting Db time out exception frequently"
OP-7325,"Implement Artifactory integrator as a plugin"
OP-7326,"UI - Setup - Select monitoring provider as a elastic search - not loading correct accounts"
OP-7328,"clean up/ refactor file save, load related code "
OP-7336,"Java - Visibility - Issue with displaying Artifactory data when integrator is created with slash(/)"
OP-7337,"Java- Unable to save Artifactory integrator with slash"
OP-7340,"Implement metrics intelligence layer for hypothesis testing"
OP-7342,"Java - For test verification gate - Status and Image id is show as different in DB(gate_execution_tracker  & pipeline_execution_tracker tables)"
OP-7343,"Create  Approval Gate Instance  All connectors data for Policy"
OP-7344,"Java - SonarQube - Data is not showing for Public connectors also navigation is not happening correctly"
OP-7348,"modify metric response header"
OP-7349,"clean dependencies"
OP-7351,"Java - sonarqube connector is not fetching data for public projects without the token"
OP-7353,"Java-Changes related to Datascience as seperate service"
OP-7354,"AonA Baseline test cases execution is failing due to baseline gate url is not accessible "
OP-7356,"Bitbucket server plugin implementation Java/UI"
OP-7358,"logging missing"
OP-7364,"Migrate the pipeline APIs for current Audit UI to Audit client service"
OP-7365,"Migrate the pipeline execution APIs for current Audit UI to Audit client service"
OP-7378,"Java - Cyber ark service secret management"
OP-7380,"Java-Unit Test cases for minio"
OP-7383,"Java - Visibility - Issue with displaying Jfrog Xray data when integrator is created with slash(/)"
OP-7384,"Move JPA layer to a separate repo "
OP-7390,"CloudProviders-While editing,updating and deleting appropriate exception message should be displayed."
OP-7391,"UI/CloudProviders--While editing the cloud provider , file name which is  already uploaded  should be displayed."
OP-7400,"Visibility - Data is missing for bamboo connector  "
OP-7405,"circular import issue while starting celery worker"
OP-7406,"Java - Visibility -  Issue with displaying Bitbucket_Server data when integrator is created with slash(/)"
OP-7407,"Java- Platform Service - Enterprise Vault support"
OP-7408,"Java - Deployment view - Canary (id)run information is missing in deployment details"
OP-7409,"Java-v2 api changes for datascience as seperate service"
OP-7415,"3.9.1.2: oes-platform does not support proxy"
OP-7418,"White space after grid when menu is collapsed"
OP-7419,"Connectors--While giving data in approval gate with and without spaces , data should be  visible in visibility and approval page."
OP-7420,"UI - Setup - Issue with displaying connectors list "
OP-7421,"ECS--Remove "namingStrategy"  as it is not supporting latest version of Spinnaker from API"
OP-7422,"ECS--Update and delete of ecs cloud provider is not happening in Hal Config"
OP-7426,"fix incorrect error message in v2 api"
OP-7429,"UI - Setup - Template creation - UI integration is not complete for Custom templates"
OP-7430,"UI - Cloud providers - Upload KubeConfig File option is missing when user click on Cloud Provider dropdown"
OP-7435,"Columns mismatch in Autopilot tab in Visibility page"
OP-7436,"object storage second phase"
OP-7439,"OSS- Not able to see the Integrators  and Cloud Providers   in spinnaker"
OP-7441,"OES Direct Sync Accounts Spinnaker Setup API's Implementation"
OP-7442,"Java- New end point to provide required details for a canary"
OP-7443,"Vault--Not able to delete the Integrators in Vault"
OP-7444,"Vault--Not able to create Spinnaker whith vault configuration"
OP-7447,"OES Sync Accounts API changes"
OP-7448,"OES Intregrations disable  Connect to spinnaker for Direct Sync "
OP-7450,"OES Ecs Account - drop down for AWS Accounts which is configured."
OP-7451,"OES Ecs Account - API implementaion for to get AWS accounts"
OP-7454,"Cloud Provider - AWS and ECS  accounts are not updating  in to Spinnaker hal config"
OP-7455,"Securing OES end points "
OP-7459,"Java- Insight Widget Raw Data Api"
OP-7460,"Java-Insight Summary Data api"
OP-7461,"Java- Insight  Application Data Api"
OP-7462,"Java-Insight Pipelines Data"
OP-7463,"Java-Insight Pipelines with Intelligent GatesData"
OP-7464,"Java-Insight Pipelines with Intelligent Gates Breakdown data"
OP-7466,"Add code for enabling object storage method for reading and saving files"
OP-7468,"Echo events, Deployments count & history, spinnaker jump is not working when OES and Spinnaker deployed into different cluster "
OP-7469,"Export Audit and Insights graph Data to CSV file"
OP-7475,"Java - Approval -  Data is shown as empty for  Autopilot connector  "
OP-7476,"Java - Approval - Data is shown as empty for Jenkins connector"
OP-7477,"Add necessary URL mappings for Gate for Policy Gate and echo event listeners"
OP-7480,"Dockerize: Audit service and client modules"
OP-7482,"Cloud Providers- Not able to load the cloud provider accounts in spinnaker halconfig with  spinnaker version1.26.X"
OP-7487,"UI - Policy - Create new policy option is missing in policy management"
OP-7526,"Java-Java-Insight  Intelligent Gates Used data"
OP-7528,"Java-Insight Total Users data"
OP-7530,"Java - Policy - Delete policy in policy management is throwing permission issue"
OP-7531,"Java - Setup -  Deleted policy still visible in automated approval"
OP-7533,"Java - User can able to delete the policy(auto approval) if it is already in use"
OP-7535,"UI - Setup -  Create new integrator option is missing in integrators  "
OP-7537,"Unification of Github and GitApi datasources"
OP-7542,"Java - Gate Service : Implement mapping URL for the Insight API"
OP-7543,"Issue with Prometheus metrics in OES 3.9.2- Bell Canada"
OP-7554,"Java - Some of the connector details are  missing when we add policy and trigger"
OP-7557,"Java - Integrations - unable to create new integrator - data source api is failing"
OP-7561,"User stats  - Total users chart has been plotted based on log in events, not based on the number of users logged in"
OP-7568,"Usage Insights  - Inconsistency with mouse hover"
OP-7569,"Usage Insights> Total Application counts, Total pipeline counts, Total pipelines with intelligent gates count is wrong"
OP-7570,"AonA--INFO Input provided for the entropy analysis is :{'feedbackErrorTopics': [{'existingTopic': 'CRITICAL ERROR', 'cluster': 'Unable to read stashed servers from FILEPATH java.io"
OP-7571,"AonA-- INFO entropy analysis request received for input json: {"feedbackJson": {"feedbackErrorTopics": [{"existingTopic": "CRITICAL ERROR", "cluster": "Unable to read stashed servers"
OP-7572,"AonA-- INFO Entropy analysis output : {'feedbackErrorTopics_words': [{'keywords': 'unable read stashed servers filepath java io filenotfoundexception variablebrace', 'existingTopic':"
OP-7573,"AonA--INFO Data science api is calling with requested json:{"firstRun":true,"contextualWindowSize":null,"autoBaseline":false,"infoScoring":false,"s3Folder":"79\/service--qatestkiukv"
OP-7574,"AonA--INFO reclassification request received for input json: {"firstRun": true, "contextualWindowSize": null, "autoBaseline": false, "infoScoring": false, "s3Folder": "79/service--q"
OP-7575,"AonA---INFO Input to reclassification :[{'newtopic': ' ERROR', 'oldtopic': 'CRITICAL ERROR', 'id': 89, 'type': 'topic', 'version': 'version2', 'uniqueid': 'NOT AVAILABLE'}]"
OP-7590,"Verification, TestVerification applications list showing same even with the filtered api call"
OP-7668,"Java - Gate : Mapping URL is Gate for the above endpoints"
OP-7601,"Remove the extra space in front of each log line after downloading the cluster "
OP-7603,"Java/UI  - unable to trigger the canary using manual trigger canary - issue with gate name"
OP-7604,"Spinnaker Setup: Validations"
OP-7605,"Auto Sync upon Spinnaker set up."
OP-7619,"JAVA - Help text in integrators "
OP-7621,"AonA-- ERROR Exception on /v2/entropy-analysis [POST] Traceback (most recent call last): File "/usr/local/lib64/python3.8/site-packages/sqlalchemy/engine/base.py", line 1276, in _e"
OP-7627,"AonA--New services should be compatible with  canary analysis without baseline."
OP-7635,"Spinnaker is throwing ConstraintViolationException while saving in SetUp tab."
OP-7646,"VAULT--Sapor pod is restarting continuosly"
OP-7648,"UI - Setup -  Scroll issue for approve gate permission "
OP-7651,"Java-Insights Pipeline with gates need to show cumulative count"
OP-7665,"Spinnaker Validations--- With wrong URL able to save the spinnaker"
OP-7667,"Java - Jenkins data is not found when user create jenkins integrator with following end point (/jenkins)"
OP-7669,"Policy - Policy is saving with 500 error responce"
OP-7681,"Java - Audit - In Pipeline section modified by is shown as postgres"
OP-7688,"Java - Spinnaker setup - Non Admin user can allow to create spinnaker"
OP-7691,"Java - Audit - auditclientservice api is throwing number format exception"
OP-7692,"Usage Insights - Feedback points"
OP-7695,"Java - Policy Gate - Unable to create policy gate due to internal server error"
OP-7697,"Java - Unable to save the gates"
OP-7700,"Summary Header to be added in the Policy Management Page"
OP-7709,"Fetching secrets from CyberArk vault in Analytics"
OP-7711,"Fetching secrets from CyberArk vault in Visibility service."
OP-7712,"Public repo for sample policies"
OP-7713,"Java - Usage Insights  -  Issues with sorting the date"
OP-7715,"Java - Audit - Pipeline Execution - Unable to down the csv file"
OP-7717,"UI - Setup - Help text is missing in pipeline view  "
OP-7721,"Java -  non-admin user creates an application in spinnaker  import it to OES, later the user deletes the application in spinnaker, the same application is not getting deleted from OES."
OP-7722,"Java -  a user create an application in spinnaker without any OES gates and add only spinnaker specific stages and user execute a pipeline. OES dashboard is not showing that application in top"
OP-7723,"UI-CloudProviders--While adding , updating or deleting, appropriate error message should be displayed.
"
OP-7726,"Java - Create spinnaker app with both NV & TV gates - Application details are not shown in verification application details"
OP-7732,"Java - when the same template is used in multiple gates ( same or different pipelines in the application); then we are unable to delete verification gate"
OP-7733,"Java - Current deployments - In current deployments status should be down(present it is shown as Terminal for failed deployments)"
OP-7735,"Java - Spinnaker connectivity issue "
OP-7744,"UI - Blue color border getting displayed in grids in some pages"
OP-7746,"AonA-ERROR Bad Credentials:{} org.springframework.web.client.HttpClientErrorException$BadRequest: 400 Bad Request: [{" errorMessages":["Issue does not exist or you do not have perm"
OP-7747,"Spinnaker validations- While saving the spinnaker with the github user Opsmx, means.."https://github.com/OpsMx/newdev-dynamic-account.git" not able to save spinnaker.. getting below exception"
OP-7757,"AonA--ERROR Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is java.lang. NullPointerException]"
OP-7759,"AonA--ERROR http://oes-autopilot:8090/autopilot/canaries/logsData?serviceId=293&id=163&testCaseId=67"
OP-7763,"AonA-- ERROR Application name is null"
OP-7765,"AonA-- INFO User fedback topis getting from db for reclassificaiton java.lang. NumberFormatException: null at java.lang.Long.parseLong(Long.java:552) at java.lang.Long.valueOf(Long"
